ACID,planningstate,planningtype,creation,ETD,ttlg,to eto,type,LIV,ETA,delayed ETA,ETO IAF,ETO_original,TP IAF,TP ETA,IAF,runway,EAT,slot,initialslot,manualslot,TMA,EAT adherence,LAS,LAf,origin,TPstate,count,updates,Flighttime,TP accuracy,casdesc,max_casdesc,min_casdesc,E_TO,percentile_time,E_dep,E_enroute,E_fir,planning,SID,FIR entry,Time error,Error at Freeze,minwork,totalwork,extrawork,swaps,lookahead,instruction,selspd,dogleg,direct,holding,earliest
TFL3TG,ground,,54549.0,54549.0,,,B38M,,,,,55281.0,55281.0,56033.0,RIVER,RWY27,,,,,,,,,,,0,,1484.0,,,,,2.6758856773325603,7.235752813471398,-1.5361076882162723,17.715999451699208,-1.2293682325841822,,,,,,13912421217.92147,,,,13,,,,,,
KLM28H,ground,,86143.0,86143.0,,,E190,,,,,86890.0,86890.0,87582.0,RIVER,RWY18C,,,,,,,,,,,0,,1439.0,,,,,6.895406647398444,7.235752813471398,2.580169049977357,-4.99358041561544,-1.6017199287777357,,,,,,9415991053.512756,,,,13,,,,,,
KLM1584,ground,,51583.0,51583.0,,,B738,,,,,52331.0,52331.0,53023.0,RIVER,RWY18C,,,,,,,,,,,0,,1440.0,,,,,-1.986529006423181,7.235752813471398,3.75931656132447,10.45635025812276,-1.5486109727093138,,,,,,13749968853.19335,,,,13,,,,,,
KLM33G,ground,,31603.0,31603.0,,,E75L,,,,,32395.0,32395.0,33141.0,RIVER,RWY27,,,,,,,,,,,0,,1538.0,,,,,-1.4230779204528885,6.699401756457089,23.412917766120497,-2.6295746414732633,-0.5545002964915959,,,,,,8002160360.012548,,,,12,,,,,,
KLM96D,ground,,17083.0,17083.0,,,E75L,,,,,17920.0,17920.0,18658.0,RIVER,RWY27,,,,,,,,,,,0,,1575.0,,,,,-1.5678640391048342,6.044615221619122,0.5852189112759881,4.921274332848803,-0.06325458659683009,,,,,,8082125690.904171,,,,11,,,,,,
KLM58G,ground,,5742.999999999999,5742.999999999999,,,E75L,,,,,6652.999999999999,6652.999999999999,7335.999999999999,RIVER,RWY18C,,,,,,,,,,,0,,1593.0,,,,,71.40447553425658,5.31969288423119,6.551903454485995,4.068082579586029,0.9730952459729505,,,,,,8479765678.594324,,,,10,,,,,,
KLM1796,ground,,86143.0,86143.0,,,E190,,,,,87317.0,87317.0,87819.0,ARTIP,RWY27,,,,,,,,,,,0,,1676.0,,,,,0.9999,0.9999,0.0,2.6824173554128343,0.9405882534274796,,,,,,7596068292.291626,,,,5,,,,,,
PHFRA,ground,,4483.0,4483.0,,,TBM8,,,,,5669.0,5669.0,8898.0,RIVER,RWY27,,,,,,,,,,,0,,4415.0,,,,,0.9999,0.9999,0.0,-9.910343346171382,-0.10470418788386168,,5354.0,7697.0,,,1582010739.1100593,,,,5,,,,,,
DIMOI,ground,,34603.0,34603.0,,,C525,,,,,35895.0,35895.0,36639.0,RIVER,RWY27,,,,,,,,,,,0,,2036.0,,,,,0.9999,0.9999,0.0,0.5834483514922679,-0.1646539796250244,,,,,,1081406669.4769104,,,,3,,,,,,
KLM56A,ground,,46603.0,46603.0,,,E75L,,,,,47928.0,47928.0,48429.0,ARTIP,RWY27,,,,,,,,,,,0,,1826.0,,,,,0.9999,0.9999,0.0,-7.288158036255071,-1.6396787864253537,,,,,,9125626835.16462,,,,3,,,,,,
KLM60Y,ground,,1967.9999999999998,1967.9999999999998,,,E75L,,,,,3314.0,3314.0,3871.0,SUGOL,RWY18C,,,,,,,,,,,0,,1903.0,,,,,1.7416215761963665,0.894970551852633,2.204417959205511,-1.3486504734200848,-0.6876350708195829,,,,,,8963770215.099787,,,,3,,,,,,
KLM1760,ground,,85843.0,85843.0,,,E190,,,,,87190.0,87190.0,87683.0,ARTIP,RWY27,,,,,,,,,,,0,,1840.0,,,,,0.9999,0.9999,0.0,5.761015878925919,-1.257094950870755,,,,,,10655076574.154665,,,,3,,,,,,
KLM68G,ground,,14443.0,14443.0,,,E75L,,,,,15841.0,15841.0,16330.0,ARTIP,RWY27,,,,,,,,,,,0,,1887.0,,,,,0.9999,0.9999,0.0,2.200063886130269,0.49598130353849884,,,,,,8762726430.152573,,,,2,,,,,,
KLM1764,ground,,29863.0,29863.0,,,E190,,,,,31274.0,31274.0,31762.0,ARTIP,RWY27,,,,,,,,,,,0,,1899.0,,,,,0.9999,0.9999,0.0,3.064967846837196,0.5964453845978409,,,,,,9917274258.959347,,,,1,,,,,,
KLM28Q,ground,,46336.0,46336.0,,,E75L,,,,,47773.0,47773.0,48324.0,SUGOL,RWY18C,,,,,,,,,,,0,,1988.0,,,,,-1.3650349375838242,1.4030158191858353,8.059888253164804,8.009953683949925,-1.0092134917230977,,,,,,9586449583.290743,,,,1,,,,,,
EJU94GY,ground,,24403.0,24403.0,,,A20N,,,,,25851.0,25851.0,26409.0,SUGOL,RWY18C,,,,,,,,,,,0,,2006.0,,,,,-0.30390492145079384,6.488870547153661,0.7602483722931552,5.967291040383854,-0.1314511599786262,,,,,,18271425649.60249,,,,1,,,,,,
BCS1443,ground,,43963.0,43963.0,,,A306,,,,,45416.0,45416.0,45975.0,SUGOL,RWY18C,,,,,,,,,,,0,,2012.0,,,,,14.198299411321901,6.488870547153661,-4.440411513324684,0.12114596015352325,-2.684648908431768,,,,,,35212990161.52451,,,,1,,,,,,
