ACTYPE;WTC;RECAT
3;L;F
4T;L;F
A002;L;F
A1;M;F
A10;M;E
A109;L;F
A119;L;F
A122;L;F
A124;H;A
A129;L;F
A139;L;F
A140;M;E
A148;M;E
A16;L;F
A19;L;F
A20;M;F
A205;L;F
A21;L;F
A210;L;F
A211;L;F
A22;L;F
A223;L;F
A225;H;S
A23;L;F
A25;L;F
A27;L;F
A270;L;F
A29;L;F
A2RT;L;F
A3;M;E
A306;H;C
A30B;H;C
A31;L;F
A310;H;C
A318;M;D
A319;M;D
A320;M;D
A321;M;D
A33;L;F
A332;H;B
A333;H;B
A342;H;B
A343;H;B
A345;H;B
A346;H;B
A35;L;F
A37;L;F
A388;J;A
A3ST;H;C
A4;M;F
A400;H;C
A50;H;C
A500;L;F
A504;L;F
A6;M;E
A660;L;F
A7;M;E
A700;L;F
A743;M;E
A748;M;E
A890;L;F
A9;L;F
A900;L;F
A910;L;F
AA1;L;F
AA37;L;F
AA5;L;F
AAT3;L;F
AAT4;L;F
AB11;L;F
AB15;L;F
AB18;L;F
AB95;L;F
AC11;L;F
AC4;L;F
AC50;L;F
AC52;L;F
AC56;L;F
AC5A;L;F
AC5M;L;F
AC68;L;F
AC6L;L;F
AC72;L;F
AC80;L;F
AC90;L;F
AC95;L;F
ACAM;L;F
ACAR;L;F
ACED;L;F
ACJR;L;F
ACPL;L;F
ACR2;L;F
ACRD;L;F
ACRO;L;F
ACSR;L;F
AD20;L;F
ADEL;L;F
ADVE;L;F
ADVN;L;F
AE45;L;F
AEA1;L;F
AEST;L;F
AG02;L;F
AGSH;L;F
AI10;L;F
AIGT;L;F
AIRD;L;F
AIRL;L;F
AJ27;M;E
AJET;M;F
AK1;L;F
AKOY;L;F
AKRO;L;F
ALBU;L;F
ALC1;L;F
ALGR;L;F
ALH;L;F
ALIG;L;F
ALIZ;M;F
ALO2;L;F
ALO3;L;F
ALPI;L;F
ALTO;L;F
AM3;L;F
AMX;M;F
AN12;M;D
AN2;L;F
AN22;H;B
AN24;M;E
AN26;M;E
AN28;L;F
AN3;L;F
AN30;M;E
AN32;M;E
AN38;M;F
AN70;M;C
AN72;M;E
AN8;M;D
ANGL;L;F
ANSN;L;F
ANST;L;F
AP20;L;F
AP22;L;F
AP24;L;F
AP26;L;F
AP28;L;F
AP36;L;F
APM2;L;F
APM3;L;F
APUP;L;F
AR11;L;F
AR15;L;F
AR79;L;F
ARES;L;F
ARKS;L;F
ARON;L;F
ARV1;L;F
ARVA;L;F
ARWF;L;F
AS02;L;F
AS14;L;F
AS16;L;F
AS20;L;F
AS21;L;F
AS22;L;F
AS24;L;F
AS25;L;F
AS26;L;F
AS28;L;F
AS29;L;F
AS2T;L;F
AS30;L;F
AS31;L;F
AS32;M;F
AS3B;M;F
AS50;L;F
AS55;L;F
AS65;L;F
AS80;L;F
ASO4;L;F
ASTR;M;F
AT3;M;F
AT3P;L;F
AT3T;L;F
AT43;M;E
AT44;M;E
AT45;M;E
AT5P;L;F
AT5T;L;F
AT6T;L;F
AT72;M;E
AT75;M;E
AT8T;M;F
ATAC;L;F
ATG1;L;F
ATIS;L;F
ATL;L;F
ATLA;M;D
ATP;M;E
ATTL;L;F
AU11;L;F
AUJ2;L;F
AUJ4;L;F
AUS3;L;F
AUS4;L;F
AUS5;L;F
AUS6;L;F
AUS7;L;F
AUS9;L;F
AV68;L;F
AVAM;L;F
AVID;L;F
AVIN;L;F
AVK4;L;F
AVLN;L;F
AVTR;L;F
B06;L;F
B06T;L;F
B1;H;C
B103;L;F
B105;L;F
B13;L;F
B14A;L;F
B14B;L;F
B14C;L;F
B17;M;E
B18T;L;F
B190;M;F
B2;H;S
B209;L;F
B212;L;F
B214;M;F
B222;L;F
B23;M;F
B230;L;F
B24;M;D
B25;M;E
B26;M;E
B26M;M;E
B29;M;D
B305;L;F
B350;L;F
B360;L;F
B36T;L;F
B407;L;F
B412;L;F
B427;L;F
B429;L;F
B430;L;F
B461;M;E
B462;M;E
B463;M;E
B47G;L;F
B47J;L;F
B47T;L;F
B52;H;S
B60;L;F
B609;M;F
B60T;L;F
B701;M;D
B703;H;C
B712;M;E
B720;M;C
B721;M;D
B722;M;D
B731;M;E
B732;M;E
B733;M;E
B734;M;E
B735;M;E
B736;M;D
B737;M;D
B738;M;D
B739;M;D
B741;H;B
B742;H;B
B743;H;B
B744;H;B
B748;H;B
B74D;H;B
B74R;H;B
B74S;H;B
B752;M;C
B753;M;C
B762;H;C
B763;H;C
B764;H;C
B772;H;B
B773;H;B
B77L;H;B
B77W;H;B
B783;H;C
B788;H;B
B789;H;B
BA11;M;E
BABY;L;F
BAR6;L;F
BARC;L;F
BASS;L;F
BBAT;L;F
BBIR;L;F
BCA3;L;F
BCAT;L;F
BD10;L;F
BD12;L;F
BD17;L;F
BD4;L;F
BD5;L;F
BD5J;L;F
BD5T;L;F
BDOG;L;F
BE10;L;F
BE12;M;E
BE17;L;F
BE18;L;F
BE19;L;F
BE20;L;F
BE23;L;F
BE24;L;F
BE30;L;F
BE32;M;F
BE33;L;F
BE35;L;F
BE36;L;F
BE40;M;F
BE45;M;F
BE50;L;F
BE55;L;F
BE56;L;F
BE58;L;F
BE60;L;F
BE65;L;F
BE70;L;F
BE76;L;F
BE77;L;F
BE80;L;F
BE88;L;F
BE95;L;F
BE99;L;F
BE9L;L;F
BE9T;L;F
BEAR;L;F
BELF;M;C
BER2;M;D
BER4;M;D
BETA;L;F
BEVR;L;F
BF19;L;F
BFIT;L;F
BILO;L;F
BIPL;L;F
BIRD;L;F
BISC;L;F
BK17;L;F
BKUT;L;F
BL11;L;F
BL17;L;F
BL19;L;F
BL8;L;F
BLBU;L;F
BLCF;H;B
BLEN;L;F
BLKS;L;F
BM6;L;F
BN2P;L;F
BN2T;L;F
BOLT;L;F
BOOM;L;F
BPAT;L;F
BR14;L;F
BR54;L;F
BRAV;L;F
